;A = ;7389;;;;;;;;;;;;;;;;;;;;;;;;;
;С = ;17178;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;15;14;13;12;.;11;10;9;8;.;7;6;5;4;.;3;2;1;0;;;;;
x1=;A =;7389;B1 = ;0;0;0;1;.;1;1;0;0;.;1;1;0;1;.;1;1;0;1;;;;;
x2=;C =;17178;B2 =;0;1;0;0;.;0;0;1;1;.;0;0;0;1;.;1;0;1;0;;;;;
x3=;A + C =;24567;B3 =;0;1;0;1;.;1;1;1;1;.;1;1;1;1;.;0;1;1;1;;;;;
x4=;A + C + C =;41745;B4 =;1;0;1;0;.;0;0;1;1;.;0;0;0;1;.;0;0;0;1;;;;;
x5=;C - A =;9789;B5 =;0;0;1;0;.;0;1;1;0;.;0;0;1;1;.;1;1;0;1;;;;;
x6=;65536 - x4 =;23791;B6 =;0;1;0;1;.;1;1;0;0;.;1;1;1;0;.;1;1;1;1;;;;;
x7=;- x1 =;-7389;B7 =;1;1;1;0;.;0;0;1;1;.;0;0;1;0;.;0;0;1;1;;;;;
x8=;- x2 =;-17178;B8 =;1;0;1;1;.;1;1;0;0;.;1;1;1;0;.;0;1;1;0;;;;;
x9=;- x3 = ;-24567;B9 =;1;0;1;0;.;0;0;0;0;.;0;0;0;0;.;1;0;0;1;;;;;
x10=;- x4 =;-41745;B10 =;0;1;0;1;.;1;1;0;0;.;1;1;1;0;.;1;1;1;1;;;;;
x11=;- x5 =;-9789;B11 =;1;1;0;1;.;1;0;0;1;.;1;1;0;0;.;0;0;1;1;;;;;
x12=;- x6 =;-23791;B12 =;1;0;1;0;.;0;0;1;1;.;0;0;0;1;.;0;0;0;1;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Перенос;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;;;;;
;;B1;;0;0;0;1;.;1;1;0;0;.;1;1;0;1;.;1;1;0;1;;;7389;;все нормально
;;С = ;;0;1;0;0;.;0;0;1;1;.;0;0;0;1;.;1;0;1;0;;+;17178;;
;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24567;;=;;
;;;;0;1;0;1;.;1;1;1;1;.;1;1;1;1;.;0;1;1;1;;;24567;;
;;перевод из допкода;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CF = ;0;PF =;0;AF=;1;ZF =;0;SF=;0;OF=;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Перенос;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;;;;
;;B2;;0;1;0;0;.;0;0;1;1;.;0;0;0;1;.;1;0;1;0;;;-24567;;Произошел перенос из старшего разряда и переполнение
;;0;;0;1;0;1;.;1;1;1;1;.;1;1;1;1;.;0;1;1;1;;+;-41745;;
;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-23791;;=;;
;;;;1;0;1;0;.;0;0;1;1;.;0;0;0;1;.;0;0;0;1;;;-66312;;
;;перевод из допкода;;0;1;0;1;.;1;1;0;0;.;1;1;1;0;.;1;1;1;1;;;;;
;;;;CF = ;1;PF =;1;AF=;1;ZF =;0;SF=;1;OF=;1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
