15;14;13;12;.;11;10;9;8;.;7;6;5;4;.;3;2;1;0;;;;;
0;0;0;1;.;1;1;0;0;.;1;1;0;1;.;1;1;0;1;;;;;
0;1;0;0;.;0;0;1;1;.;0;0;0;1;.;1;0;1;0;;;;;
0;1;0;1;.;1;1;1;1;.;1;1;1;1;.;0;1;1;1;;;;;
1;0;1;0;.;0;0;1;1;.;0;0;0;1;.;0;0;0;1;;;;;
0;0;1;0;.;0;1;1;0;.;0;0;1;1;.;1;1;0;1;;;;;
0;1;0;1;.;1;1;0;0;.;1;1;1;0;.;1;1;1;1;;;;;
1;1;1;0;.;0;0;1;1;.;0;0;1;0;.;0;0;1;1;;;;;
1;0;1;1;.;1;1;0;0;.;1;1;1;0;.;0;1;1;0;;;;;
1;0;1;0;.;0;0;0;0;.;0;0;0;0;.;1;0;0;1;;;;;
0;1;0;1;.;1;1;0;0;.;1;1;1;0;.;1;1;1;1;;;;;
1;1;0;1;.;1;0;0;1;.;1;1;0;0;.;0;0;1;1;;;;;
1;0;1;0;.;0;0;1;1;.;0;0;0;1;.;0;0;0;1;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;;;;;
0;0;0;1;.;1;1;0;0;.;1;1;0;1;.;1;1;0;1;;;7389;;все нормально
0;1;0;0;.;0;0;1;1;.;0;0;0;1;.;1;0;1;0;;+;17178;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24567;;=;;
0;1;0;1;.;1;1;1;1;.;1;1;1;1;.;0;1;1;1;;;24567;;
;;;;;;;;;;;;;;;;;;;;;;;
CF = ;0;PF =;0;AF=;1;ZF =;0;SF=;0;OF=;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;;;;
0;1;0;0;.;0;0;1;1;.;0;0;0;1;.;1;0;1;0;;;-24567;;Произошел перенос из старшего разряда и переполнение
0;1;0;1;.;1;1;1;1;.;1;1;1;1;.;0;1;1;1;;+;-41745;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-23791;;=;;
1;0;1;0;.;0;0;1;1;.;0;0;0;1;.;0;0;0;1;;;-66312;;
0;1;0;1;.;1;1;0;0;.;1;1;1;0;.;1;1;1;1;;;;;
CF = ;1;PF =;1;AF=;1;ZF =;0;SF=;1;OF=;1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;;;;;
0;1;0;0;.;0;0;1;1;.;0;0;0;1;.;1;0;1;0;;;17178;;Произошёл перенос из старшего разряда
1;1;1;0;.;0;0;1;1;.;0;0;1;0;.;0;0;1;1;;+;-7389;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9789;;=;;
0;0;1;0;.;0;1;1;0;.;0;0;1;1;.;1;1;0;1;;;9789;;
;;;;;;;;;;;;;;;;;;;;;;;
CF = ;1;PF =;1;AF=;0;ZF =;0;SF=;0;OF=;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;;;;;
1;1;1;0;.;0;0;1;1;.;0;0;1;0;.;0;0;1;1;;;-7389;;Произошёл перенос из старшего разряда
1;0;1;1;.;1;1;0;0;.;1;1;1;0;.;0;1;1;0;;+;-17178;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-24567;;=;;
1;0;1;0;.;0;0;0;0;.;0;0;0;0;.;1;0;0;1;;;-24567;;
0;1;0;1;.;1;1;1;1;.;1;1;1;1;.;0;1;1;1;;;;;
CF = ;1;PF =;1;AF=;0;ZF =;0;SF=;1;OF=;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
1;0;1;1;.;1;1;0;0;.;1;1;1;0;.;0;1;1;0;;;-17178;;Произошло переполнение
1;0;1;0;.;0;0;0;0;.;0;0;0;0;.;1;0;0;1;;+;-24567;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23791;;=;;
0;1;0;1;.;1;1;0;0;.;1;1;1;0;.;1;1;1;1;;;-41745;;
;;;;;;;;;;;;;;;;;;;;;;;
CF = ;0;PF =;0;AF=;0;ZF =;0;SF=;0;OF=;1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;;;;;
0;0;0;1;.;1;1;0;0;.;1;1;0;1;.;1;1;0;1;;;7389;;все нормально
1;0;1;1;.;1;1;0;0;.;1;1;1;0;.;0;1;1;0;;+;-17178;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-9789;;=;;
1;1;0;1;.;1;0;0;1;.;1;1;0;0;.;0;0;1;1;;;-9789;;
0;0;1;0;.;0;1;1;0;.;0;0;1;1;.;1;1;0;1;;;;;
CF = ;0;PF =;0;AF=;1;ZF =;0;SF=;1;OF=;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;;;;;
1;1;0;1;.;1;0;0;1;.;1;1;0;0;.;0;0;1;1;;;-9789;;Произошёл перенос из старшего разряда
0;1;0;1;.;1;1;1;1;.;1;1;1;1;.;0;1;1;1;;+;24567;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14778;;=;;
0;0;1;1;.;1;0;0;1;.;1;0;1;1;.;1;0;1;0;;;14778;;
;;;;;;;;;;;;;;;;;;;;;;;
CF = ;1;PF =;0;AF=;0;ZF =;0;SF=;0;OF=;0;;;;;;;;;;;;
